gmp_to_gmn_multiplier, pgrad: -0.913691144890975, value: 0.98, delta: -9.13691144890975E-7, new_val: 0.980000913691145
vpp, pgrad: 0, value: 1e-09, delta: 0, new_val: 1.00000000000000E-9
dram_cell_I_on, pgrad: 0, value: 1e-09, delta: 0, new_val: 1.00000000000000E-9
dram_cell_Vdd, pgrad: 0, value: 1e-09, delta: 0, new_val: 1.00000000000000E-9
dram_cell_C, pgrad: 0, value: 1e-09, delta: 0, new_val: 1.00000000000000E-9
dram_cell_I_off_worst_case_len_temp, pgrad: 0, value: 1e-09, delta: 0, new_val: 1.00000000000000E-9
logic_scaling_co_eff, pgrad: 0, value: 1.0, delta: 0, new_val: 1.00000000000000
core_tx_density, pgrad: 0, value: 0.6125, delta: 0, new_val: 0.612500000000000
sckt_co_eff, pgrad: 0, value: 1.1539, delta: 0, new_val: 1.15390000000000
chip_layout_overhead, pgrad: 0, value: 1.2, delta: 0, new_val: 1.20000000000000
macro_layout_overhead, pgrad: 0, value: 1.1, delta: 0, new_val: 1.10000000000000
sense_delay, pgrad: 0, value: 2.8e-10, delta: 0, new_val: 2.80000000000000E-10
sense_dy_power, pgrad: 0, value: 1.47e-14, delta: 0, new_val: 1.47000000000000E-14
wire_pitch, pgrad: 11.2758067016804, value: 8.0, delta: 0.0000112758067016804, new_val: 7.99998872419330
barrier_thickness, pgrad: 0, value: 0.01, delta: 0, new_val: 0.0100000000000000
dishing_thickness, pgrad: 0, value: 1e-09, delta: 0, new_val: 1.00000000000000E-9
alpha_scatter, pgrad: 0, value: 1.0, delta: 0, new_val: 1.00000000000000
aspect_ratio, pgrad: 0, value: 2.7, delta: 0, new_val: 2.70000000000000
miller_value, pgrad: 0, value: 1.5, delta: 0, new_val: 1.50000000000000
horiz_dielectric_constant, pgrad: 0, value: 2.709, delta: 0, new_val: 2.70900000000000
vert_dielectric_constant, pgrad: 0, value: 3.9, delta: 0, new_val: 3.90000000000000
ild_thickness, pgrad: 0, value: 0.96, delta: 0, new_val: 0.960000000000000
fringe_cap, pgrad: 2.63922847222222E+18, value: 1.15e-16, delta: 2639228472222.22, new_val: -2639228472222.22
resistivity, pgrad: 0, value: 0.022, delta: 0, new_val: 0.0220000000000000
wire_r_per_micron, pgrad: 0, value: 1e-09, delta: 0, new_val: 1.00000000000000E-9
wire_c_per_micron, pgrad: 0, value: 1e-09, delta: 0, new_val: 1.00000000000000E-9
tsv_pitch, pgrad: 0, value: 4.0, delta: 0, new_val: 4.00000000000000
tsv_diameter, pgrad: 0, value: 2.0, delta: 0, new_val: 2.00000000000000
tsv_length, pgrad: 0, value: 8.0, delta: 0, new_val: 8.00000000000000
tsv_dielec_thickness, pgrad: 0, value: 0.1, delta: 0, new_val: 0.100000000000000
tsv_contact_resistance, pgrad: 0, value: 0.1, delta: 0, new_val: 0.100000000000000
tsv_depletion_width, pgrad: 0, value: 0.6, delta: 0, new_val: 0.600000000000000
tsv_liner_dielectric_cons, pgrad: 0, value: 2.709, delta: 0, new_val: 2.70900000000000


C_g_ideal, pgrad: 3.82828423044440E+17, value: 8.45e-16, delta: 382828423044.440, new_val: -382828423044.440
C_g_ideal, p_access: 9.27689279792597, cacti:7.99938
C_fringe, pgrad: 1.91367128909258E+18, value: 8e-17, delta: 1913671289092.58, new_val: -1913671289092.58

C_g_ideal, pgrad: 3.82828423044440E+17, value: 8.45e-16, delta: 8.45000000000000E-17, new_val: 7.60500000000000E-16
C_fringe, pgrad: 1.91367128909258E+18, value: 8e-17, delta: 8.00000000000000E-18, new_val: 7.20000000000000E-17
C_junc, pgrad: 2.58282062500001E+17, value: 1e-15, delta: 1.00000000000000E-16, new_val: 9.00000000000000E-16
C_junc_sw, pgrad: 1.37657106481482E+18, value: 2.5e-16, delta: 2.50000000000000E-17, new_val: 2.25000000000000E-16
l_phy, pgrad: 0, value: 0.053, delta: 0, new_val: 0.0530000000000000
l_elec, pgrad: 0, value: 0.0354, delta: 0, new_val: 0.0354000000000000
nmos_effective_resistance_multiplier, pgrad: -0.0102440814001025, value: 1.77, delta: 0.177000000000000, new_val: 1.59300000000000
Vdd, pgrad: 0.830501978176752, value: 0.9, delta: 0.0900000000000000, new_val: 0.810000000000000
Vth, pgrad: 0, value: 0.30764, delta: 0, new_val: 0.307640000000000
Vdsat, pgrad: 0, value: 0.113, delta: 0, new_val: 0.113000000000000
I_on_n, pgrad: 46.9012521422180, value: 0.0003866, delta: 0.0000386600000000000, new_val: 0.000347940000000000
I_on_p, pgrad: 0, value: 0.0002097, delta: 0, new_val: 0.000209700000000000
C_ox, pgrad: 0, value: 1.59e-14, delta: 0, new_val: 1.59000000000000E-14
t_ox, pgrad: 0, value: 0.0015, delta: 0, new_val: 0.00150000000000000
n2p_drv_rt, pgrad: 0, value: 2.54, delta: 0, new_val: 2.54000000000000
lch_lk_rdc, pgrad: 0, value: 1.0, delta: 0, new_val: 1.00000000000000
Mobility_n, pgrad: 0, value: 46039000000.0, delta: 0, new_val: 46039000000.0000
gmp_to_gmn_multiplier, pgrad: -0.913691144890975, value: 0.98, delta: 0.0980000000000000, new_val: 0.882000000000000
vpp, pgrad: 0, value: 1e-09, delta: 0, new_val: 1.00000000000000E-9
dram_cell_I_on, pgrad: 0, value: 1e-09, delta: 0, new_val: 1.00000000000000E-9
dram_cell_Vdd, pgrad: 0, value: 1e-09, delta: 0, new_val: 1.00000000000000E-9
dram_cell_C, pgrad: 0, value: 1e-09, delta: 0, new_val: 1.00000000000000E-9
dram_cell_I_off_worst_case_len_temp, pgrad: 0, value: 1e-09, delta: 0, new_val: 1.00000000000000E-9
logic_scaling_co_eff, pgrad: 0, value: 1.0, delta: 0, new_val: 1.00000000000000
core_tx_density, pgrad: 0, value: 0.6125, delta: 0, new_val: 0.612500000000000
sckt_co_eff, pgrad: 0, value: 1.1539, delta: 0, new_val: 1.15390000000000
chip_layout_overhead, pgrad: 0, value: 1.2, delta: 0, new_val: 1.20000000000000
macro_layout_overhead, pgrad: 0, value: 1.1, delta: 0, new_val: 1.10000000000000
sense_delay, pgrad: 0, value: 2.8e-10, delta: 0, new_val: 2.80000000000000E-10
sense_dy_power, pgrad: 0, value: 1.47e-14, delta: 0, new_val: 1.47000000000000E-14
wire_pitch, pgrad: 11.2758067016804, value: 8.0, delta: 0.800000000000000, new_val: 7.20000000000000
barrier_thickness, pgrad: 0, value: 0.01, delta: 0, new_val: 0.0100000000000000
dishing_thickness, pgrad: 0, value: 1e-09, delta: 0, new_val: 1.00000000000000E-9
alpha_scatter, pgrad: 0, value: 1.0, delta: 0, new_val: 1.00000000000000
aspect_ratio, pgrad: 0, value: 2.7, delta: 0, new_val: 2.70000000000000
miller_value, pgrad: 0, value: 1.5, delta: 0, new_val: 1.50000000000000
horiz_dielectric_constant, pgrad: 0, value: 2.709, delta: 0, new_val: 2.70900000000000
vert_dielectric_constant, pgrad: 0, value: 3.9, delta: 0, new_val: 3.90000000000000
ild_thickness, pgrad: 0, value: 0.96, delta: 0, new_val: 0.960000000000000
fringe_cap, pgrad: 2.63922847222222E+18, value: 1.15e-16, delta: 1.15000000000000E-17, new_val: 1.03500000000000E-16
resistivity, pgrad: 0, value: 0.022, delta: 0, new_val: 0.0220000000000000
wire_r_per_micron, pgrad: 0, value: 1e-09, delta: 0, new_val: 1.00000000000000E-9
wire_c_per_micron, pgrad: 0, value: 1e-09, delta: 0, new_val: 1.00000000000000E-9
tsv_pitch, pgrad: 0, value: 4.0, delta: 0, new_val: 4.00000000000000
tsv_diameter, pgrad: 0, value: 2.0, delta: 0, new_val: 2.00000000000000
tsv_length, pgrad: 0, value: 8.0, delta: 0, new_val: 8.00000000000000
tsv_dielec_thickness, pgrad: 0, value: 0.1, delta: 0, new_val: 0.100000000000000
tsv_contact_resistance, pgrad: 0, value: 0.1, delta: 0, new_val: 0.100000000000000
tsv_depletion_width, pgrad: 0, value: 0.6, delta: 0, new_val: 0.600000000000000
tsv_liner_dielectric_cons, pgrad: 0, value: 2.709, delta: 0, new_val: 2.70900000000000

C_g_ideal, pgrad: 3.82828423044440E+17, value: 8.45e-16, delta: 8.45000000000000E-17, new_val: 7.60500000000000E-16
C_fringe, pgrad: 1.91367128909258E+18, value: 8e-17, delta: 8.00000000000000E-18, new_val: 7.20000000000000E-17
C_junc, pgrad: 2.58282062500001E+17, value: 1e-15, delta: 1.00000000000000E-16, new_val: 9.00000000000000E-16
C_g_ideal, pgrad: 3.82828423044440E+17, value: 8.45e-16, delta: 8.45000000000000E-17, new_val: 7.60500000000000E-16
C_fringe, pgrad: 1.91367128909258E+18, value: 8e-17, delta: 8.00000000000000E-18, new_val: 7.20000000000000E-17

